Time elapsed	Time stamp	Loop Index	GP2Y ADC
s			Cts

5.01684740e+00	2022-05-17T19:19:37.528729	1	4.70000000e+02
5.02612610e+00	2022-05-17T19:19:37.537558	2	4.77000000e+02
5.04089170e+00	2022-05-17T19:19:37.553540	3	4.73000000e+02
5.05742690e+00	2022-05-17T19:19:37.568247	4	4.72000000e+02
5.07957430e+00	2022-05-17T19:19:37.589191	5	4.72000000e+02
5.09978040e+00	2022-05-17T19:19:37.613160	6	5.17000000e+02
5.11165530e+00	2022-05-17T19:19:37.624698	7	4.96000000e+02
5.12010360e+00	2022-05-17T19:19:37.632035	8	4.74000000e+02
5.13256860e+00	2022-05-17T19:19:37.645720	9	4.75000000e+02
5.15323350e+00	2022-05-17T19:19:37.666383	10	4.70000000e+02
5.15825250e+00	2022-05-17T19:19:37.670382	11	4.74000000e+02
5.17033410e+00	2022-05-17T19:19:37.682380	12	4.80000000e+02
5.18133920e+00	2022-05-17T19:19:37.693392	13	4.75000000e+02
5.18965990e+00	2022-05-17T19:19:37.701619	14	5.22000000e+02
5.20191930e+00	2022-05-17T19:19:37.713833	15	4.74000000e+02
5.21411980e+00	2022-05-17T19:19:37.726141	16	4.94000000e+02
5.23404630e+00	2022-05-17T19:19:37.746277	17	4.73000000e+02
5.25160860e+00	2022-05-17T19:19:37.762257	18	4.77000000e+02
5.26323200e+00	2022-05-17T19:19:37.775268	19	4.76000000e+02
5.27161200e+00	2022-05-17T19:19:37.784689	20	5.25000000e+02
5.29725890e+00	2022-05-17T19:19:37.809748	21	5.22000000e+02
5.30045220e+00	2022-05-17T19:19:37.813743	22	4.72000000e+02
5.31725520e+00	2022-05-17T19:19:37.829722	23	4.73000000e+02
5.32852390e+00	2022-05-17T19:19:37.838444	24	4.79000000e+02
5.33682650e+00	2022-05-17T19:19:37.848850	25	4.70000000e+02
5.34527310e+00	2022-05-17T19:19:37.857004	26	4.75000000e+02
5.35355870e+00	2022-05-17T19:19:37.865278	27	4.73000000e+02
5.37343540e+00	2022-05-17T19:19:37.883657	28	4.76000000e+02
5.38580360e+00	2022-05-17T19:19:37.895641	29	5.27000000e+02
5.39388300e+00	2022-05-17T19:19:37.903631	30	4.73000000e+02
5.40275060e+00	2022-05-17T19:19:37.915360	31	4.77000000e+02
5.41482180e+00	2022-05-17T19:19:37.926856	32	4.74000000e+02
5.42315240e+00	2022-05-17T19:19:37.935076	33	4.77000000e+02
5.44132670e+00	2022-05-17T19:19:37.954498	34	4.87000000e+02
5.45666760e+00	2022-05-17T19:19:37.969670	35	4.73000000e+02
5.46942990e+00	2022-05-17T19:19:37.981659	36	4.73000000e+02
5.48043610e+00	2022-05-17T19:19:37.992388	37	5.20000000e+02
5.49299470e+00	2022-05-17T19:19:38.004389	38	4.72000000e+02
5.51643100e+00	2022-05-17T19:19:38.029083	39	4.91000000e+02
5.53516980e+00	2022-05-17T19:19:38.046686	40	4.84000000e+02
5.54550220e+00	2022-05-17T19:19:38.057419	41	4.74000000e+02
5.55419400e+00	2022-05-17T19:19:38.066219	42	4.74000000e+02
5.56666490e+00	2022-05-17T19:19:38.078468	43	4.78000000e+02
5.58559780e+00	2022-05-17T19:19:38.095492	44	4.75000000e+02
5.60481220e+00	2022-05-17T19:19:38.115467	45	4.74000000e+02
5.61551530e+00	2022-05-17T19:19:38.127520	46	4.76000000e+02
5.62420730e+00	2022-05-17T19:19:38.135707	47	4.83000000e+02
5.64867280e+00	2022-05-17T19:19:38.158529	48	4.76000000e+02
5.66580710e+00	2022-05-17T19:19:38.178502	49	4.72000000e+02
5.67807390e+00	2022-05-17T19:19:38.188548	50	4.74000000e+02
5.68933200e+00	2022-05-17T19:19:38.202380	51	4.96000000e+02
5.71349650e+00	2022-05-17T19:19:38.226389	52	4.77000000e+02
5.71507260e+00	2022-05-17T19:19:38.226389	53	4.79000000e+02
5.73298470e+00	2022-05-17T19:19:38.246367	54	4.70000000e+02
5.73836750e+00	2022-05-17T19:19:38.250397	55	4.77000000e+02
5.74647710e+00	2022-05-17T19:19:38.259544	56	4.75000000e+02
5.75457600e+00	2022-05-17T19:19:38.267541	57	4.91000000e+02
5.76281280e+00	2022-05-17T19:19:38.274901	58	4.76000000e+02
5.78165770e+00	2022-05-17T19:19:38.294876	59	4.72000000e+02
5.80062910e+00	2022-05-17T19:19:38.312356	60	4.79000000e+02
5.81204500e+00	2022-05-17T19:19:38.325075	61	4.74000000e+02
5.82060640e+00	2022-05-17T19:19:38.332354	62	4.74000000e+02
5.83199510e+00	2022-05-17T19:19:38.342337	63	4.78000000e+02
5.85066020e+00	2022-05-17T19:19:38.362314	64	4.75000000e+02
5.86968940e+00	2022-05-17T19:19:38.382287	65	4.74000000e+02
5.87344950e+00	2022-05-17T19:19:38.385394	66	4.74000000e+02
5.88188020e+00	2022-05-17T19:19:38.393689	67	4.76000000e+02
5.90304370e+00	2022-05-17T19:19:38.415597	68	4.77000000e+02
5.91283800e+00	2022-05-17T19:19:38.423589	69	4.73000000e+02
5.92618890e+00	2022-05-17T19:19:38.439316	70	4.70000000e+02
5.93426960e+00	2022-05-17T19:19:38.447308	71	4.82000000e+02
5.94271560e+00	2022-05-17T19:19:38.454638	72	4.74000000e+02
5.95154160e+00	2022-05-17T19:19:38.463502	73	4.74000000e+02
5.96365070e+00	2022-05-17T19:19:38.475735	74	4.81000000e+02
5.99575720e+00	2022-05-17T19:19:38.508270	75	4.74000000e+02
6.00346760e+00	2022-05-17T19:19:38.516222	76	4.73000000e+02
6.01295630e+00	2022-05-17T19:19:38.524854	77	4.72000000e+02
6.02556860e+00	2022-05-17T19:19:38.536173	78	5.25000000e+02
6.04927990e+00	2022-05-17T19:19:38.558804	79	4.85000000e+02
6.05210060e+00	2022-05-17T19:19:38.562816	80	5.15000000e+02
6.06538270e+00	2022-05-17T19:19:38.574784	81	4.76000000e+02
6.07385770e+00	2022-05-17T19:19:38.585733	82	4.94000000e+02
6.08171230e+00	2022-05-17T19:19:38.593749	83	4.80000000e+02
6.09069940e+00	2022-05-17T19:19:38.602553	84	4.77000000e+02
6.09877690e+00	2022-05-17T19:19:38.610731	85	4.74000000e+02
6.10767950e+00	2022-05-17T19:19:38.618916	86	4.75000000e+02
6.13138790e+00	2022-05-17T19:19:38.642650	87	4.76000000e+02
6.13981020e+00	2022-05-17T19:19:38.650638	88	4.74000000e+02
6.15269950e+00	2022-05-17T19:19:38.662624	89	5.11000000e+02
6.16489840e+00	2022-05-17T19:19:38.675806	90	4.87000000e+02
6.18365440e+00	2022-05-17T19:19:38.695936	91	4.73000000e+02
6.19013530e+00	2022-05-17T19:19:38.699930	92	5.15000000e+02
6.20918010e+00	2022-05-17T19:19:38.719904	93	4.73000000e+02
6.21380430e+00	2022-05-17T19:19:38.725434	94	4.74000000e+02
6.22549500e+00	2022-05-17T19:19:38.737441	95	4.75000000e+02
6.23441130e+00	2022-05-17T19:19:38.746099	96	4.74000000e+02
6.24624750e+00	2022-05-17T19:19:38.758261	97	4.72000000e+02
6.27179980e+00	2022-05-17T19:19:38.784664	98	4.73000000e+02
6.28489800e+00	2022-05-17T19:19:38.796841	99	4.81000000e+02
6.29087500e+00	2022-05-17T19:19:38.802528	100	4.74000000e+02
6.29945270e+00	2022-05-17T19:19:38.811402	101	4.78000000e+02
6.30851980e+00	2022-05-17T19:19:38.819236	102	4.76000000e+02
6.33004070e+00	2022-05-17T19:19:38.839850	103	4.73000000e+02
6.34873660e+00	2022-05-17T19:19:38.859838	104	4.75000000e+02
6.35193070e+00	2022-05-17T19:19:38.863832	105	4.80000000e+02
