Time elapsed	Time stamp	Loop Index	GP2Y ADC
s			Cts

5.00957910e+00	2022-05-17T19:27:02.123772	1	4.13000000e+02
5.02036980e+00	2022-05-17T19:27:02.123772	2	4.14000000e+02
5.03195130e+00	2022-05-17T19:27:02.145587	3	4.16000000e+02
5.04086290e+00	2022-05-17T19:27:02.145587	4	4.13000000e+02
5.05628900e+00	2022-05-17T19:27:02.161740	5	4.23000000e+02
5.07868930e+00	2022-05-17T19:27:02.192455	6	4.11000000e+02
5.09065110e+00	2022-05-17T19:27:02.192455	7	4.15000000e+02
5.10346970e+00	2022-05-17T19:27:02.208076	8	4.13000000e+02
5.11468030e+00	2022-05-17T19:27:02.223742	9	4.12000000e+02
5.12642660e+00	2022-05-17T19:27:02.239639	10	4.23000000e+02
5.13509150e+00	2022-05-17T19:27:02.245966	11	4.12000000e+02
5.14318590e+00	2022-05-17T19:27:02.245966	12	4.15000000e+02
5.16264780e+00	2022-05-17T19:27:02.277211	13	4.04000000e+02
5.17096470e+00	2022-05-17T19:27:02.277211	14	4.36000000e+02
5.18358160e+00	2022-05-17T19:27:02.292874	15	4.13000000e+02
5.19245020e+00	2022-05-17T19:27:02.292874	16	4.13000000e+02
5.20441410e+00	2022-05-17T19:27:02.309495	17	4.24000000e+02
5.22771640e+00	2022-05-17T19:27:02.340741	18	4.13000000e+02
5.23938350e+00	2022-05-17T19:27:02.346248	19	4.04000000e+02
5.25108660e+00	2022-05-17T19:27:02.361909	20	4.37000000e+02
5.26150540e+00	2022-05-17T19:27:02.361909	21	4.13000000e+02
5.27001380e+00	2022-05-17T19:27:02.377735	22	4.13000000e+02
5.29340040e+00	2022-05-17T19:27:02.408737	23	4.11000000e+02
5.30808320e+00	2022-05-17T19:27:02.408737	24	4.55000000e+02
5.31529200e+00	2022-05-17T19:27:02.424397	25	4.13000000e+02
5.32697410e+00	2022-05-17T19:27:02.440484	26	4.13000000e+02
5.33554460e+00	2022-05-17T19:27:02.447033	27	4.14000000e+02
5.34454340e+00	2022-05-17T19:27:02.447033	28	4.13000000e+02
5.36558550e+00	2022-05-17T19:27:02.478280	29	4.14000000e+02
5.37916530e+00	2022-05-17T19:27:02.494750	30	4.04000000e+02
5.38873270e+00	2022-05-17T19:27:02.495294	31	4.13000000e+02
5.39713130e+00	2022-05-17T19:27:02.511254	32	4.12000000e+02
5.40985250e+00	2022-05-17T19:27:02.511254	33	4.14000000e+02
5.42785830e+00	2022-05-17T19:27:02.542160	34	4.11000000e+02
5.44514040e+00	2022-05-17T19:27:02.547207	35	4.08000000e+02
5.45437230e+00	2022-05-17T19:27:02.563314	36	4.17000000e+02
5.46188510e+00	2022-05-17T19:27:02.563314	37	4.62000000e+02
5.48270040e+00	2022-05-17T19:27:02.594074	38	4.12000000e+02
5.50102770e+00	2022-05-17T19:27:02.609696	39	4.13000000e+02
5.50745600e+00	2022-05-17T19:27:02.609696	40	4.13000000e+02
5.51584190e+00	2022-05-17T19:27:02.625614	41	4.17000000e+02
5.52411950e+00	2022-05-17T19:27:02.625614	42	4.12000000e+02
5.54313300e+00	2022-05-17T19:27:02.647444	43	4.12000000e+02
5.56293390e+00	2022-05-17T19:27:02.663069	44	4.18000000e+02
5.57311880e+00	2022-05-17T19:27:02.678690	45	4.60000000e+02
5.59887520e+00	2022-05-17T19:27:02.709933	46	4.13000000e+02
5.61586710e+00	2022-05-17T19:27:02.725592	47	4.13000000e+02
5.62673350e+00	2022-05-17T19:27:02.741177	48	4.12000000e+02
5.63864390e+00	2022-05-17T19:27:02.748205	49	4.23000000e+02
5.64684540e+00	2022-05-17T19:27:02.748205	50	4.14000000e+02
5.66398540e+00	2022-05-17T19:27:02.779451	51	4.11000000e+02
5.68225910e+00	2022-05-17T19:27:02.795111	52	4.32000000e+02
5.68744470e+00	2022-05-17T19:27:02.795111	53	4.25000000e+02
5.69574460e+00	2022-05-17T19:27:02.810702	54	4.12000000e+02
5.70409330e+00	2022-05-17T19:27:02.810702	55	4.12000000e+02
5.72656460e+00	2022-05-17T19:27:02.841937	56	4.19000000e+02
5.74547630e+00	2022-05-17T19:27:02.848441	57	4.12000000e+02
5.75738460e+00	2022-05-17T19:27:02.864582	58	4.04000000e+02
5.77985720e+00	2022-05-17T19:27:02.895307	59	4.11000000e+02
5.78997910e+00	2022-05-17T19:27:02.895307	60	4.15000000e+02
5.80257990e+00	2022-05-17T19:27:02.910930	61	4.19000000e+02
5.81461200e+00	2022-05-17T19:27:02.926752	62	4.13000000e+02
5.82308340e+00	2022-05-17T19:27:02.926752	63	4.12000000e+02
5.84317230e+00	2022-05-17T19:27:02.948510	64	4.04000000e+02
5.86182940e+00	2022-05-17T19:27:02.964183	65	4.11000000e+02
5.88250890e+00	2022-05-17T19:27:02.995376	66	4.13000000e+02
5.90320140e+00	2022-05-17T19:27:03.011023	67	4.15000000e+02
5.91283290e+00	2022-05-17T19:27:03.027039	68	4.20000000e+02
5.92136600e+00	2022-05-17T19:27:03.027039	69	4.51000000e+02
5.94531850e+00	2022-05-17T19:27:03.048605	70	4.13000000e+02
5.96408160e+00	2022-05-17T19:27:03.064272	71	4.14000000e+02
5.97458270e+00	2022-05-17T19:27:03.079851	72	4.12000000e+02
5.98659470e+00	2022-05-17T19:27:03.095893	73	4.12000000e+02
5.99496960e+00	2022-05-17T19:27:03.095893	74	4.15000000e+02
6.01421690e+00	2022-05-17T19:27:03.126715	75	4.11000000e+02
6.03360510e+00	2022-05-17T19:27:03.148842	76	4.45000000e+02
6.04378850e+00	2022-05-17T19:27:03.148842	77	4.15000000e+02
6.05210810e+00	2022-05-17T19:27:03.165055	78	4.12000000e+02
6.06031940e+00	2022-05-17T19:27:03.165055	79	4.18000000e+02
6.08348490e+00	2022-05-17T19:27:03.195710	80	4.12000000e+02
6.10237320e+00	2022-05-17T19:27:03.211373	81	4.14000000e+02
6.10970310e+00	2022-05-17T19:27:03.211373	82	4.49000000e+02
6.11801350e+00	2022-05-17T19:27:03.227395	83	4.13000000e+02
6.14475410e+00	2022-05-17T19:27:03.248906	84	4.55000000e+02
6.16445280e+00	2022-05-17T19:27:03.264531	85	4.25000000e+02
6.17528630e+00	2022-05-17T19:27:03.280152	86	4.19000000e+02
6.19688050e+00	2022-05-17T19:27:03.311394	87	4.40000000e+02
6.21266600e+00	2022-05-17T19:27:03.327703	88	4.13000000e+02
6.22010830e+00	2022-05-17T19:27:03.327703	89	4.22000000e+02
6.22852110e+00	2022-05-17T19:27:03.343365	90	4.04000000e+02
6.24063060e+00	2022-05-17T19:27:03.349422	91	4.19000000e+02
6.24902500e+00	2022-05-17T19:27:03.349422	92	4.13000000e+02
6.26522370e+00	2022-05-17T19:27:03.380668	93	4.15000000e+02
6.28359380e+00	2022-05-17T19:27:03.396335	94	4.12000000e+02
6.29363920e+00	2022-05-17T19:27:03.396335	95	4.14000000e+02
6.30224600e+00	2022-05-17T19:27:03.412064	96	4.16000000e+02
6.30986270e+00	2022-05-17T19:27:03.412064	97	4.23000000e+02
6.33478490e+00	2022-05-17T19:27:03.449658	98	4.11000000e+02
6.34809750e+00	2022-05-17T19:27:03.449658	99	4.16000000e+02
6.35948580e+00	2022-05-17T19:27:03.465754	100	4.40000000e+02
6.38318170e+00	2022-05-17T19:27:03.496526	101	4.14000000e+02
6.40255340e+00	2022-05-17T19:27:03.513626	102	4.13000000e+02
6.41257430e+00	2022-05-17T19:27:03.513626	103	4.14000000e+02
6.42102230e+00	2022-05-17T19:27:03.529674	104	4.25000000e+02
6.44632610e+00	2022-05-17T19:27:03.549894	105	4.11000000e+02
