Time elapsed	Time stamp	Loop Index	GP2Y ADC
s			Cts

5.00697380e+00	2022-05-17T19:27:34.424761	1	3.59000000e+02
5.01580450e+00	2022-05-17T19:27:34.424761	2	3.81000000e+02
5.03622710e+00	2022-05-17T19:27:34.455291	3	3.71000000e+02
5.06300860e+00	2022-05-17T19:27:34.470919	4	3.77000000e+02
5.07640320e+00	2022-05-17T19:27:34.492844	5	3.69000000e+02
5.08461330e+00	2022-05-17T19:27:34.492844	6	3.60000000e+02
5.09347400e+00	2022-05-17T19:27:34.509072	7	3.61000000e+02
5.10177020e+00	2022-05-17T19:27:34.509072	8	3.70000000e+02
5.12701840e+00	2022-05-17T19:27:34.539737	9	3.59000000e+02
5.14410350e+00	2022-05-17T19:27:34.555380	10	3.73000000e+02
5.15073590e+00	2022-05-17T19:27:34.555380	11	3.63000000e+02
5.15921290e+00	2022-05-17T19:27:34.571384	12	3.77000000e+02
5.18428680e+00	2022-05-17T19:27:34.593130	13	3.60000000e+02
5.20571010e+00	2022-05-17T19:27:34.624417	14	3.59000000e+02
5.21168960e+00	2022-05-17T19:27:34.624417	15	3.46000000e+02
5.22054890e+00	2022-05-17T19:27:34.624417	16	3.48000000e+02
5.23238000e+00	2022-05-17T19:27:34.639998	17	4.03000000e+02
5.25677600e+00	2022-05-17T19:27:34.671273	18	3.60000000e+02
5.26597580e+00	2022-05-17T19:27:34.671273	19	3.62000000e+02
5.27809380e+00	2022-05-17T19:27:34.693451	20	3.63000000e+02
5.28597050e+00	2022-05-17T19:27:34.693451	21	3.84000000e+02
5.29393290e+00	2022-05-17T19:27:34.709619	22	3.99000000e+02
5.30238960e+00	2022-05-17T19:27:34.709619	23	3.60000000e+02
5.32176700e+00	2022-05-17T19:27:34.740320	24	3.60000000e+02
5.33033690e+00	2022-05-17T19:27:34.740320	25	3.87000000e+02
5.34327710e+00	2022-05-17T19:27:34.755979	26	3.60000000e+02
5.35164020e+00	2022-05-17T19:27:34.755979	27	3.65000000e+02
5.36358190e+00	2022-05-17T19:27:34.771925	28	3.60000000e+02
5.38749550e+00	2022-05-17T19:27:34.793789	29	3.59000000e+02
5.40526620e+00	2022-05-17T19:27:34.809445	30	3.66000000e+02
5.41687910e+00	2022-05-17T19:27:34.825329	31	3.69000000e+02
5.43996640e+00	2022-05-17T19:27:34.856304	32	3.60000000e+02
5.45891980e+00	2022-05-17T19:27:34.871940	33	3.60000000e+02
5.46605700e+00	2022-05-17T19:27:34.871940	34	3.61000000e+02
5.47435420e+00	2022-05-17T19:27:34.888013	35	3.60000000e+02
5.48656170e+00	2022-05-17T19:27:34.894016	36	3.61000000e+02
5.51013450e+00	2022-05-17T19:27:34.925288	37	3.48000000e+02
5.52859930e+00	2022-05-17T19:27:34.940913	38	3.55000000e+02
5.53913590e+00	2022-05-17T19:27:34.957004	39	3.58000000e+02
5.54818240e+00	2022-05-17T19:27:34.957004	40	3.56000000e+02
5.57565290e+00	2022-05-17T19:27:34.994280	41	3.63000000e+02
5.59389550e+00	2022-05-17T19:27:35.009944	42	3.60000000e+02
5.60532800e+00	2022-05-17T19:27:35.009944	43	3.64000000e+02
5.61375290e+00	2022-05-17T19:27:35.025525	44	3.89000000e+02
5.63831980e+00	2022-05-17T19:27:35.056794	45	3.68000000e+02
5.65758190e+00	2022-05-17T19:27:35.072419	46	3.84000000e+02
5.66629530e+00	2022-05-17T19:27:35.072419	47	3.52000000e+02
5.67429890e+00	2022-05-17T19:27:35.088050	48	3.61000000e+02
5.68327820e+00	2022-05-17T19:27:35.094558	49	3.67000000e+02
5.70666930e+00	2022-05-17T19:27:35.125830	50	3.62000000e+02
5.71561280e+00	2022-05-17T19:27:35.125830	51	3.62000000e+02
5.72749910e+00	2022-05-17T19:27:35.141463	52	3.61000000e+02
5.73675440e+00	2022-05-17T19:27:35.141463	53	3.69000000e+02
5.74861030e+00	2022-05-17T19:27:35.157464	54	3.60000000e+02
5.77111760e+00	2022-05-17T19:27:35.188314	55	3.63000000e+02
5.78972300e+00	2022-05-17T19:27:35.194824	56	3.60000000e+02
5.79337800e+00	2022-05-17T19:27:35.210678	57	3.78000000e+02
5.80210720e+00	2022-05-17T19:27:35.210678	58	4.06000000e+02
5.82519980e+00	2022-05-17T19:27:35.241718	59	3.55000000e+02
5.84430950e+00	2022-05-17T19:27:35.257351	60	3.64000000e+02
5.85557420e+00	2022-05-17T19:27:35.273159	61	3.60000000e+02
5.86780370e+00	2022-05-17T19:27:35.273159	62	3.56000000e+02
5.88732050e+00	2022-05-17T19:27:35.295146	63	3.56000000e+02
5.90660510e+00	2022-05-17T19:27:35.311393	64	3.58000000e+02
5.91227690e+00	2022-05-17T19:27:35.327056	65	4.10000000e+02
5.92077730e+00	2022-05-17T19:27:35.327056	66	3.60000000e+02
5.93080870e+00	2022-05-17T19:27:35.343126	67	4.05000000e+02
5.95135660e+00	2022-05-17T19:27:35.358772	68	3.61000000e+02
5.95817420e+00	2022-05-17T19:27:35.373907	69	3.44000000e+02
5.97292820e+00	2022-05-17T19:27:35.389543	70	3.56000000e+02
5.98167620e+00	2022-05-17T19:27:35.395089	71	3.56000000e+02
5.99050610e+00	2022-05-17T19:27:35.395089	72	3.70000000e+02
6.00253250e+00	2022-05-17T19:27:35.410872	73	3.61000000e+02
6.02758820e+00	2022-05-17T19:27:35.441982	74	3.74000000e+02
6.03975090e+00	2022-05-17T19:27:35.457616	75	3.61000000e+02
6.05599350e+00	2022-05-17T19:27:35.473259	76	3.63000000e+02
6.06798440e+00	2022-05-17T19:27:35.473259	77	3.61000000e+02
6.07684830e+00	2022-05-17T19:27:35.494944	78	3.62000000e+02
6.08849370e+00	2022-05-17T19:27:35.494944	79	3.61000000e+02
6.11250860e+00	2022-05-17T19:27:35.526216	80	3.75000000e+02
6.13239910e+00	2022-05-17T19:27:35.541846	81	3.67000000e+02
6.13779070e+00	2022-05-17T19:27:35.541846	82	3.61000000e+02
6.14601350e+00	2022-05-17T19:27:35.557433	83	3.69000000e+02
6.16148310e+00	2022-05-17T19:27:35.573103	84	3.46000000e+02
6.17037330e+00	2022-05-17T19:27:35.588701	85	3.59000000e+02
6.17954710e+00	2022-05-17T19:27:35.595237	86	3.57000000e+02
6.19317230e+00	2022-05-17T19:27:35.610902	87	3.84000000e+02
6.20336870e+00	2022-05-17T19:27:35.610902	88	3.60000000e+02
6.21114490e+00	2022-05-17T19:27:35.627029	89	3.60000000e+02
6.22008660e+00	2022-05-17T19:27:35.627029	90	3.60000000e+02
6.23998280e+00	2022-05-17T19:27:35.657766	91	3.46000000e+02
6.25939510e+00	2022-05-17T19:27:35.673387	92	3.60000000e+02
6.26890260e+00	2022-05-17T19:27:35.673387	93	3.61000000e+02
6.28079250e+00	2022-05-17T19:27:35.695356	94	3.60000000e+02
6.28979810e+00	2022-05-17T19:27:35.695356	95	3.99000000e+02
6.30754290e+00	2022-05-17T19:27:35.726653	96	3.70000000e+02
6.32746790e+00	2022-05-17T19:27:35.742250	97	3.78000000e+02
6.33452520e+00	2022-05-17T19:27:35.742250	98	3.60000000e+02
6.34659970e+00	2022-05-17T19:27:35.758384	99	3.71000000e+02
6.35500040e+00	2022-05-17T19:27:35.773500	100	3.60000000e+02
6.36721390e+00	2022-05-17T19:27:35.773500	101	3.64000000e+02
6.38824850e+00	2022-05-17T19:27:35.795631	102	3.48000000e+02
6.40668890e+00	2022-05-17T19:27:35.811296	103	3.59000000e+02
6.41637210e+00	2022-05-17T19:27:35.826877	104	3.61000000e+02
6.44049340e+00	2022-05-17T19:27:35.858145	105	3.89000000e+02
