Time elapsed	Time stamp	Loop Index	GP2Y ADC
s			Cts

5.01653250e+00	2022-05-17T19:16:18.888996	1	3.61000000e+02
5.02604610e+00	2022-05-17T19:16:18.888996	2	3.72000000e+02
5.04572090e+00	2022-05-17T19:16:18.919552	3	3.52000000e+02
5.05612550e+00	2022-05-17T19:16:18.926087	4	3.73000000e+02
5.07237650e+00	2022-05-17T19:16:18.941737	5	3.59000000e+02
5.08258940e+00	2022-05-17T19:16:18.941737	6	3.66000000e+02
5.09327920e+00	2022-05-17T19:16:18.957371	7	3.60000000e+02
5.10327760e+00	2022-05-17T19:16:18.973329	8	3.64000000e+02
5.11152940e+00	2022-05-17T19:16:18.973329	9	3.60000000e+02
5.13485930e+00	2022-05-17T19:16:19.004237	10	3.60000000e+02
5.14668390e+00	2022-05-17T19:16:19.019820	11	3.60000000e+02
5.15718280e+00	2022-05-17T19:16:19.026328	12	3.60000000e+02
5.16851090e+00	2022-05-17T19:16:19.041988	13	3.60000000e+02
5.17743660e+00	2022-05-17T19:16:19.041988	14	3.91000000e+02
5.19942470e+00	2022-05-17T19:16:19.073199	15	3.59000000e+02
5.22695500e+00	2022-05-17T19:16:19.088865	16	3.59000000e+02
5.22865070e+00	2022-05-17T19:16:19.088865	17	3.61000000e+02
5.23801100e+00	2022-05-17T19:16:19.104474	18	3.62000000e+02
5.24629680e+00	2022-05-17T19:16:19.120126	19	3.60000000e+02
5.26777640e+00	2022-05-17T19:16:19.126670	20	3.61000000e+02
5.27619270e+00	2022-05-17T19:16:19.142335	21	3.60000000e+02
5.28987130e+00	2022-05-17T19:16:19.157921	22	3.68000000e+02
5.29972160e+00	2022-05-17T19:16:19.173538	23	3.61000000e+02
5.30794550e+00	2022-05-17T19:16:19.173538	24	4.07000000e+02
5.33097330e+00	2022-05-17T19:16:19.204823	25	3.59000000e+02
5.34609180e+00	2022-05-17T19:16:19.204823	26	3.66000000e+02
5.35671910e+00	2022-05-17T19:16:19.227001	27	3.67000000e+02
5.36505370e+00	2022-05-17T19:16:19.227001	28	3.60000000e+02
5.37394080e+00	2022-05-17T19:16:19.242627	29	3.60000000e+02
5.40009240e+00	2022-05-17T19:16:19.273870	30	3.64000000e+02
5.41048520e+00	2022-05-17T19:16:19.273870	31	3.59000000e+02
5.41709320e+00	2022-05-17T19:16:19.289530	32	3.81000000e+02
5.42636120e+00	2022-05-17T19:16:19.289530	33	3.61000000e+02
5.43458210e+00	2022-05-17T19:16:19.305696	34	3.84000000e+02
5.44331000e+00	2022-05-17T19:16:19.305696	35	3.59000000e+02
5.45870850e+00	2022-05-17T19:16:19.326870	36	3.60000000e+02
5.47624730e+00	2022-05-17T19:16:19.342497	37	3.62000000e+02
5.48969180e+00	2022-05-17T19:16:19.358152	38	3.62000000e+02
5.50032260e+00	2022-05-17T19:16:19.373752	39	3.66000000e+02
5.50860860e+00	2022-05-17T19:16:19.373752	40	3.60000000e+02
5.54241040e+00	2022-05-17T19:16:19.404980	41	3.71000000e+02
5.54678460e+00	2022-05-17T19:16:19.420605	42	3.61000000e+02
5.56233860e+00	2022-05-17T19:16:19.427157	43	3.59000000e+02
5.56968530e+00	2022-05-17T19:16:19.442818	44	3.63000000e+02
5.57819140e+00	2022-05-17T19:16:19.442818	45	3.71000000e+02
5.60023150e+00	2022-05-17T19:16:19.474033	46	3.59000000e+02
5.61787080e+00	2022-05-17T19:16:19.490289	47	3.62000000e+02
5.62295290e+00	2022-05-17T19:16:19.490289	48	3.84000000e+02
5.63125270e+00	2022-05-17T19:16:19.490289	49	3.62000000e+02
5.63920560e+00	2022-05-17T19:16:19.505953	50	3.61000000e+02
5.64785630e+00	2022-05-17T19:16:19.521536	51	3.62000000e+02
5.66527960e+00	2022-05-17T19:16:19.527046	52	3.66000000e+02
5.68459940e+00	2022-05-17T19:16:19.558367	53	3.84000000e+02
5.69307200e+00	2022-05-17T19:16:19.558367	54	3.61000000e+02
5.70174170e+00	2022-05-17T19:16:19.573941	55	3.77000000e+02
5.71900780e+00	2022-05-17T19:16:19.589538	56	3.60000000e+02
5.73792560e+00	2022-05-17T19:16:19.605200	57	3.59000000e+02
5.74626560e+00	2022-05-17T19:16:19.605200	58	3.64000000e+02
5.75462110e+00	2022-05-17T19:16:19.627396	59	3.61000000e+02
5.76256970e+00	2022-05-17T19:16:19.627396	60	3.90000000e+02
5.78423430e+00	2022-05-17T19:16:19.643664	61	3.60000000e+02
5.80372720e+00	2022-05-17T19:16:19.674309	62	3.65000000e+02
5.81178490e+00	2022-05-17T19:16:19.674309	63	3.63000000e+02
5.81966040e+00	2022-05-17T19:16:19.690454	64	3.61000000e+02
5.82823500e+00	2022-05-17T19:16:19.690454	65	3.59000000e+02
5.84729920e+00	2022-05-17T19:16:19.721130	66	3.59000000e+02
5.86790840e+00	2022-05-17T19:16:19.727635	67	3.59000000e+02
5.87714130e+00	2022-05-17T19:16:19.743264	68	3.64000000e+02
5.88518220e+00	2022-05-17T19:16:19.758882	69	3.60000000e+02
5.90527630e+00	2022-05-17T19:16:19.774503	70	3.63000000e+02
5.92553290e+00	2022-05-17T19:16:19.790128	71	3.75000000e+02
5.93000710e+00	2022-05-17T19:16:19.790128	72	3.61000000e+02
5.93846020e+00	2022-05-17T19:16:19.805745	73	3.66000000e+02
5.94675910e+00	2022-05-17T19:16:19.805745	74	3.60000000e+02
5.96614290e+00	2022-05-17T19:16:19.827884	75	3.59000000e+02
5.98736120e+00	2022-05-17T19:16:19.859137	76	3.60000000e+02
5.99579750e+00	2022-05-17T19:16:19.859137	77	3.95000000e+02
6.00426910e+00	2022-05-17T19:16:19.874752	78	3.60000000e+02
6.01309260e+00	2022-05-17T19:16:19.874752	79	3.61000000e+02
6.03594850e+00	2022-05-17T19:16:19.905995	80	3.70000000e+02
6.05000270e+00	2022-05-17T19:16:19.921630	81	3.60000000e+02
6.06123850e+00	2022-05-17T19:16:19.928139	82	3.72000000e+02
6.07040180e+00	2022-05-17T19:16:19.943764	83	3.64000000e+02
6.08171300e+00	2022-05-17T19:16:19.943764	84	3.99000000e+02
6.09857040e+00	2022-05-17T19:16:19.959424	85	3.61000000e+02
6.11152720e+00	2022-05-17T19:16:19.975008	86	3.60000000e+02
6.12571010e+00	2022-05-17T19:16:19.990664	87	3.67000000e+02
6.13578890e+00	2022-05-17T19:16:20.006714	88	3.62000000e+02
6.14775270e+00	2022-05-17T19:16:20.006714	89	3.60000000e+02
6.16487970e+00	2022-05-17T19:16:20.028428	90	3.63000000e+02
6.18689820e+00	2022-05-17T19:16:20.059684	91	3.52000000e+02
6.19680480e+00	2022-05-17T19:16:20.059684	92	3.48000000e+02
6.20485130e+00	2022-05-17T19:16:20.075421	93	3.67000000e+02
6.21287690e+00	2022-05-17T19:16:20.075421	94	3.62000000e+02
6.22715070e+00	2022-05-17T19:16:20.090955	95	3.77000000e+02
6.24591900e+00	2022-05-17T19:16:20.106537	96	3.66000000e+02
6.26127170e+00	2022-05-17T19:16:20.128666	97	3.60000000e+02
6.27023670e+00	2022-05-17T19:16:20.128666	98	3.67000000e+02
6.27864750e+00	2022-05-17T19:16:20.144332	99	3.52000000e+02
6.29146940e+00	2022-05-17T19:16:20.159913	100	3.61000000e+02
6.31755980e+00	2022-05-17T19:16:20.191230	101	3.58000000e+02
6.32491590e+00	2022-05-17T19:16:20.191230	102	3.73000000e+02
6.33633940e+00	2022-05-17T19:16:20.206779	103	3.60000000e+02
6.34468270e+00	2022-05-17T19:16:20.206779	104	3.62000000e+02
6.36488930e+00	2022-05-17T19:16:20.229008	105	3.64000000e+02
